결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-05 11:53:07","2024-07-05 11:56:26","네이버 페이","20240705-0000016","P000000L","P000000L000A","1","27500.00","3000.00","","배송중"
"2024-07-05 14:25:07","2024-07-05 14:25:07","모바일웹","20240705-0000023","P000000M","P000000M000K","1","24500.00","3000.00","","취소 요청"
"2024-07-05 14:28:59","2024-07-05 14:28:59","모바일웹","20240705-0000033","P000000M","P000000M000K","1","24500.00","3000.00","","배송중"
"2024-07-05 16:48:40","2024-07-05 16:48:40","모바일웹","20240705-0000044","P000000M","P000000M000K","1","24500.00","3000.00","","배송 준비중"
"2024-07-05 21:03:12","2024-07-05 21:03:12","모바일웹","20240705-0000050","P000000M","P000000M000L","1","52000.00","0.00","","배송 준비중"
"2024-07-06 01:26:58","2024-07-06 01:30:32","네이버 페이","20240706-0000014","P000000M","P000000M000L","1","52000.00","0.00","","배송 준비중"
"2024-07-06 01:29:31","2024-07-06 01:32:37","네이버 페이","20240706-0000021","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-06 14:23:40","2024-07-06 14:23:40","모바일웹","20240706-0000036","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-07-06 14:27:32","2024-07-06 14:30:37","네이버 페이","20240706-0000047","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-07-06 15:14:47","2024-07-06 15:18:45","네이버 페이","20240706-0000057","P000000L","P000000L000B","1","50000.00","0.00","","배송 준비중"
"2024-07-06 17:41:11","2024-07-06 17:41:11","모바일웹","20240706-0000064","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-06 22:28:48","2024-07-06 22:32:47","네이버 페이","20240706-0000082","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-07 13:26:29","2024-07-07 13:26:29","모바일웹","20240707-0000012","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-07-07 18:11:23","2024-07-07 18:11:23","모바일웹","20240707-0000022","P000000M","P000000M000J","1","41900.00","3000.00","","배송 준비중"
"2024-07-07 18:53:53","2024-07-07 18:53:53","모바일웹","20240707-0000032","P000000M","P000000M000L","1","52000.00","0.00","","배송 준비중"
"","2024-07-07 21:53:28","모바일웹","20240707-0000048","P000000V","P000000V000E","1","52000.00","0.00","","입금전"
