결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-24 00:02:47","2024-07-24 00:02:47","모바일웹","20240724-0000011","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-24 06:54:07","2024-07-24 06:54:07","모바일웹","20240724-0000021","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송중"
"2024-07-24 09:47:43","2024-07-24 09:34:34","모바일웹","20240724-0000033","P00000EE","P00000EE000B","3","161460.00","0.00","","배송중"
"2024-07-24 09:52:42","2024-07-24 09:52:32","쿠팡","20240724-0000046","13524651195","13524651195000000000000","1","89000.00","0.00","","배송중"
"2024-07-24 10:46:25","2024-07-24 10:50:43","네이버 페이","20240724-0000053","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-24 11:13:12","2024-07-24 11:12:35","쿠팡","20240724-0000065","13524651195","13524651195000000000000","1","89000.00","0.00","","배송중"
"2024-07-24 11:45:58","2024-07-24 11:45:58","모바일웹","20240724-0000073","P00000JC","P00000JC000J","1","81000.00","0.00","","배송중"
"2024-07-24 13:01:23","2024-07-24 13:04:44","네이버 페이","20240724-0000086","P00000CK","P00000CK000B","1","52800.00","0.00","","배송중"
"2024-07-24 17:12:55","2024-07-24 17:12:53","쿠팡","20240724-0000106","13525598019","13525598019000000000000","1","88000.00","0.00","","배송 준비중"
"2024-07-24 17:45:36","2024-07-24 17:45:36","모바일웹","20240724-0000116","P00000KA","P00000KA000M","1","160000.00","0.00","","배송 준비중"
"2024-07-24 18:03:08","2024-07-24 18:03:08","PC쇼핑몰","20240724-0000126","P00000JO","P00000JO000D","1","152000.00","6000.00","","배송 준비중"
"2024-07-24 18:03:08","2024-07-24 18:03:08","PC쇼핑몰","20240724-0000126","P00000JH","P00000JH000S","1","89000.00","","","배송 준비중"
"2024-07-24 18:29:56","2024-07-24 18:29:56","모바일웹","20240724-0000148","P000000O","P000000O000I","1","89000.00","0.00","","배송 준비중"
"2024-07-24 20:20:30","2024-07-24 20:20:28","쿠팡","20240724-0000157","13525526501","13525526501000000000000","1","54000.00","0.00","","배송 준비중"
"2024-07-24 21:12:12","2024-07-24 21:03:13","모바일웹","20240724-0000165","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송 준비중"
"2024-07-24 21:10:13","2024-07-24 21:10:13","모바일웹","20240724-0000176","P00000JD","P00000JD000K","1","77900.00","0.00","","취소 요청"
"2024-07-24 21:13:53","2024-07-24 21:13:53","모바일웹","20240724-0000183","P00000JD","P00000JD000K","2","155800.00","0.00","","배송 준비중"
"2024-07-24 21:19:54","2024-07-24 21:19:44","쿠팡","20240724-0000199","13525598019","13525598019000000000000","1","52800.00","0.00","","배송 준비중"
"2024-07-24 22:33:26","2024-07-24 22:36:48","네이버 페이","20240724-0000208","P00000GU","P00000GU000E","1","168000.00","0.00","","배송 준비중"
