결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-26 06:17:35","2024-07-26 06:19:30","네이버 페이","20240726-0000014","P000000M","P000000M000J","1","41900.00","3000.00","","배송중"
"2024-07-26 15:12:50","2024-07-26 15:12:50","모바일웹","20240726-0000029","P000000M","P000000M000L","1","52000.00","0.00","","배송 준비중"
"2024-07-26 23:04:45","2024-07-26 23:04:45","모바일웹","20240726-0000039","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-07-27 12:13:35","2024-07-27 12:13:35","모바일웹","20240727-0000014","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-27 18:04:49","2024-07-27 17:57:02","모바일웹","20240727-0000033","P000000L","P000000L000A","1","27500.00","0.00","","배송 준비중"
"2024-07-27 18:04:49","2024-07-27 17:57:02","모바일웹","20240727-0000033","P000000M","P000000M000K","1","24500.00","","","배송 준비중"
"2024-07-27 18:33:04","2024-07-27 18:33:04","모바일웹","20240727-0000042","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-27 18:53:04","2024-07-27 18:56:35","네이버 페이","20240727-0000052","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-27 20:02:13","2024-07-27 20:02:13","모바일웹","20240727-0000060","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-07-28 00:27:35","2024-07-28 00:30:17","네이버 페이","20240728-0000016","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-28 13:57:30","2024-07-28 13:54:29","모바일웹","20240728-0000022","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-07-28 21:50:33","2024-07-28 21:54:26","네이버 페이","20240728-0000033","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-28 22:28:57","2024-07-28 22:31:28","네이버 페이","20240728-0000045","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-28 23:02:53","2024-07-28 23:02:53","모바일웹","20240728-0000051","P000000M","P000000M000L","2","104000.00","0.00","","배송 준비중"
