결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-30 15:30:46","2024-07-29 10:42:49","모바일웹","20240729-0000094","P00000EE","P00000EE000B","2","107640.00","0.00","","배송 준비중"
"2024-07-30 00:37:27","2024-07-30 00:37:27","모바일웹","20240730-0000015","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-30 00:21:00","2024-07-30 00:21:00","모바일웹","20240730-0000022","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송중"
"2024-07-30 00:23:31","2024-07-30 00:23:10","쿠팡","20240730-0000036","13525526501","13525526501000000000000","1","54000.00","0.00","","배송중"
"2024-07-30 00:54:30","2024-07-30 00:58:09","네이버 페이","20240730-0000048","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송중"
"2024-07-30 01:46:49","2024-07-30 01:46:40","쿠팡","20240730-0000053","13525526501","13525526501000000000000","1","33000.00","0.00","","배송중"
"2024-07-30 04:14:51","2024-07-30 04:14:50","쿠팡","20240730-0000062","13525526501","13525526501000000000000","1","33000.00","0.00","","배송중"
"2024-07-30 10:33:25","2024-07-30 10:33:25","PC쇼핑몰","20240730-0000076","P00000CK","P00000CK000B","1","52800.00","0.00","","배송중"
"2024-07-30 10:45:03","2024-07-30 10:48:08","네이버 페이","20240730-0000083","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-30 11:03:43","2024-07-30 11:03:43","모바일웹","20240730-0000115","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-30 10:42:33","2024-07-30 10:42:31","쿠팡","20240730-0000126","13525526501","13525526501000000000000","1","33000.00","0.00","","배송중"
"2024-07-30 11:19:48","2024-07-30 11:19:48","모바일웹","20240730-0000132","P00000JZ","P00000JZ000B","1","39900.00","3000.00","","배송중"
"2024-07-30 11:35:30","2024-07-30 11:35:30","모바일웹","20240730-0000149","P000000R","P000000R000V","1","249000.00","0.00","","배송중"
"2024-07-30 12:33:36","2024-07-30 12:33:36","모바일웹","20240730-0000159","P00000CK","P00000CK000B","1","52800.00","0.00","","배송중"
"2024-07-30 12:15:14","2024-07-30 12:15:11","쿠팡","20240730-0000161","14478287655","14478287655000000000000","1","54000.00","3000.00","","배송중"
"2024-07-30 13:40:40","2024-07-30 13:40:40","PC쇼핑몰","20240730-0000171","P00000DU","P00000DU000A","1","5000.00","0.00","","배송중"
"2024-07-30 13:40:40","2024-07-30 13:40:40","PC쇼핑몰","20240730-0000171","P000000O","P000000O000H","1","48000.00","","","배송중"
"2024-07-30 13:11:50","2024-07-30 13:11:49","쿠팡","20240730-0000187","13524651195","13524651195000000000000","1","89000.00","0.00","","배송중"
"2024-07-30 14:57:37","2024-07-30 15:00:43","네이버 페이","20240730-0000192","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송중"
"2024-07-30 15:52:35","2024-07-30 15:52:35","모바일웹","20240730-0000207","P000000O","P000000O000H","1","48000.00","3000.00","","배송 준비중"
"2024-07-30 15:59:03","2024-07-30 16:02:31","네이버 페이","20240730-0000212","P000000O","P000000O000K","1","160000.00","0.00","","배송 준비중"
"2024-07-30 16:18:31","2024-07-30 16:18:29","쿠팡","20240730-0000225","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-30 17:45:14","2024-07-30 17:45:14","모바일웹","20240730-0000235","P00000KA","P00000KA000M","1","160000.00","0.00","","배송 준비중"
"2024-07-30 17:30:53","2024-07-30 17:30:44","쿠팡","20240730-0000240","13723591617","13723591617000000000000","1","64500.00","0.00","","배송 준비중"
"2024-07-30 18:26:18","2024-07-30 18:26:18","모바일웹","20240730-0000264","P00000IS","P00000IS000G","1","86000.00","0.00","","배송 준비중"
"2024-07-30 18:06:21","2024-07-30 17:54:01","쿠팡","20240730-0000273","13525598019","13525598019000000000000","1","88000.00","3000.00","","배송 준비중"
"2024-07-30 19:33:34","2024-07-30 19:33:24","쿠팡","20240730-0000289","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-30 20:13:12","2024-07-30 20:13:05","쿠팡","20240730-0000298","13525485770","13525485770000000000000","1","59800.00","0.00","","배송 준비중"
"2024-07-30 21:29:27","2024-07-30 21:29:27","모바일웹","20240730-0000303","P00000JZ","P00000JZ000E","1","41900.00","3000.00","","취소 요청"
"2024-07-30 21:38:42","2024-07-30 21:38:42","모바일웹","20240730-0000317","P00000JZ","P00000JZ000E","1","41900.00","3000.00","","배송 준비중"
"2024-07-30 22:11:17","2024-07-30 22:11:09","쿠팡","20240730-0000328","13524651195","13524651195000000000000","1","160000.00","0.00","","배송 준비중"
